Affected SOP Instance UID;(0000,1000);X
Requested SOP Instance UID;(0000,1001);U
Media Storage SOP Instance UID;(0002,0003);U
Referenced SOP Instance UID in File;(0004,1511);U
Instance Creation Date;(0008,0012);X
Instance Creation Time;(0008,0013);X
Instance Creator UID;(0008,0014);U
Instance Coercion DateTime;(0008,0015);X
Acquisition UID;(0008,0017);U
SOP Instance UID;(0008,0018);U
Pyramid UID;(0008,0019);U
Study Date;(0008,0020);Z
Series Date;(0008,0021);X
Acquisition Date;(0008,0022);X
Content Date;(0008,0023);Z
Overlay Date;(0008,0024);X
Curve Date;(0008,0025);X
Acquisition DateTime;(0008,002A);X
Study Time;(0008,0030);Z
Series Time;(0008,0031);X
Acquisition Time;(0008,0032);X
Content Time;(0008,0033);Z
Overlay Time;(0008,0034);X
Curve Time;(0008,0035);X
Accession Number;(0008,0050);Z
Retrieve AE Title;(0008,0054);X
Station AE Title;(0008,0055);X
Failed SOP Instance UID List;(0008,0058);U
Institution Name;(0008,0080);X
Institution Address;(0008,0081);X
Institution Code Sequence;(0008,0082);X
Referring Physician's Name;(0008,0090);Z
Referring Physician's Address;(0008,0092);X
Referring Physician's Telephone Numbers;(0008,0094);X
Referring Physician Identification Sequence;(0008,0096);X
Consulting Physician's Name;(0008,009C);Z
Consulting Physician Identification Sequence;(0008,009D);X
Context Group Version;(0008,0106);D
Context Group Local Version;(0008,0107);D
Timezone Offset From UTC;(0008,0201);X
Network ID;(0008,1000);X
Station Name;(0008,1010);X
Institutional Department Name;(0008,1040);X
Institutional Department Type Code Sequence;(0008,1041);X
Physician(s) of Record;(0008,1048);X
Physician(s) of Record Identification Sequence;(0008,1049);X
Performing Physician's Name;(0008,1050);X
Performing Physician Identification Sequence;(0008,1052);X
Name of Physician(s) Reading Study;(0008,1060);X
Physician(s) Reading Study Identification Sequence;(0008,1062);X
Operators' Name;(0008,1070);X
Operator Identification Sequence;(0008,1072);X
Admitting Diagnoses Description;(0008,1080);X
Admitting Diagnoses Code Sequence;(0008,1084);X
Pyramid Description;(0008,1088);X
Referenced Study Sequence;(0008,1110);X
Referenced Performed Procedure Step Sequence;(0008,1111);X
Referenced Patient Sequence;(0008,1120);X
Referenced Image Sequence;(0008,1140);X
Referenced SOP Instance UID;(0008,1155);U
Transaction UID;(0008,1195);U
Principal Diagnosis Code Sequence;(0008,1301);X
Primary Diagnosis Code Sequence;(0008,1302);X
Secondary Diagnoses Code Sequence;(0008,1303);X
Histological Diagnoses Code Sequence;(0008,1304);X
Derivation Description;(0008,2111);X
Source Image Sequence;(0008,2112);X
Irradiation Event UID;(0008,3010);U
Identifying Comments;(0008,4000);X
Patient ID;(0010,0020);U
Issuer of Patient ID;(0010,0021);X
Patient's Birth Date;(0010,0030);Z
Patient's Birth Time;(0010,0032);X
Patient's Insurance Plan Code Sequence;(0010,0050);X
Patient's Primary Language Code Sequence;(0010,0101);X
Patient's Primary Language Modifier Code Sequence;(0010,0102);X
Other Patient IDs;(0010,1000);X
Other Patient Names;(0010,1001);X
Other Patient IDs Sequence;(0010,1002);X
Patient's Birth Name;(0010,1005);X
Patient's Address;(0010,1040);X
Insurance Plan Identification;(0010,1050);X
Patient's Mother's Birth Name;(0010,1060);X
Military Rank;(0010,1080);X
Branch of Service;(0010,1081);X
Medical Record Locator;(0010,1090);X
Referenced Patient Photo Sequence;(0010,1100);X
Medical Alerts;(0010,2000);X
Allergies;(0010,2110);X
Country of Residence;(0010,2150);X
Region of Residence;(0010,2152);X
Patient's Telephone Numbers;(0010,2154);X
Patient's Telecom Information;(0010,2155);X
Ethnic Group;(0010,2160);X
Ethnic Group Code Sequence;(0010,2161);X
Occupation;(0010,2180);X
Smoking Status;(0010,21A0);X
Additional Patient History;(0010,21B0);X
Pregnancy Status;(0010,21C0);X
Last Menstrual Date;(0010,21D0);X
Patient's Religious Preference;(0010,21F0);X
Patient's Sex Neutered;(0010,2203);Z
Responsible Person;(0010,2297);X
Responsible Organization;(0010,2299);X
Patient Comments;(0010,4000);X
Clinical Trial Sponsor Name;(0012,0010);D
Clinical Trial Protocol ID;(0012,0020);D
Clinical Trial Protocol Name;(0012,0021);Z
Issuer of Clinical Trial Protocol ID;(0012,0022);X
Other Clinical Trial Protocol IDs Sequence;(0012,0023);X
Clinical Trial Site ID;(0012,0030);Z
Clinical Trial Site Name;(0012,0031);Z
Issuer of Clinical Trial Site ID;(0012,0032);X
Clinical Trial Subject ID;(0012,0040);D
Issuer of Clinical Trial Subject ID;(0012,0041);X
Clinical Trial Subject Reading ID;(0012,0042);D
Issuer of Clinical Trial Subject Reading ID;(0012,0043);X
Clinical Trial Time Point ID;(0012,0050);Z
Clinical Trial Time Point Description;(0012,0051);X
Issuer of Clinical Trial Time Point ID;(0012,0055);X
Clinical Trial Coordinating Center Name;(0012,0060);Z
Clinical Trial Series ID;(0012,0071);X
Clinical Trial Series Description;(0012,0072);X
Issuer of Clinical Trial Series ID;(0012,0073);X
Clinical Trial Protocol Ethics Committee Name;(0012,0081);D
Clinical Trial Protocol Ethics Committee Approval Number;(0012,0082);X
Ethics Committee Approval Effectiveness Start Date;(0012,0086);X
Ethics Committee Approval Effectiveness End Date;(0012,0087);X
Calibration Time;(0014,407C);X
Calibration Date;(0014,407E);X
Maker Note;(0016,002B);X
Device Setting Description;(0016,004B);X
Camera Owner Name;(0016,004D);X
Lens Specification;(0016,004E);X
Lens Make;(0016,004F);X
Lens Model;(0016,0050);X
Lens Serial Number;(0016,0051);X
GPS Version ID;(0016,0070);X
GPS Latitude? Ref;(0016,0071);X
GPS Latitude?;(0016,0072);X
GPS Longitude Ref;(0016,0073);X
GPS Longitude;(0016,0074);X
GPS Altitude? Ref;(0016,0075);X
GPS Altitude?;(0016,0076);X
GPS Time? Stamp;(0016,0077);X
GPS Satellites;(0016,0078);X
GPS Status;(0016,0079);X
GPS Measure ?Mode;(0016,007A);X
GPS DOP;(0016,007B);X
GPS Speed? Ref;(0016,007C);X
GPS Speed?;(0016,007D);X
GPS Track ?Ref;(0016,007E);X
GPS Track;(0016,007F);X
GPS Img? Direction Ref;(0016,0080);X
GPS Img ?Direction;(0016,0081);X
GPS Map? Datum;(0016,0082);X
GPS Dest? Latitude Ref;(0016,0083);X
GPS Dest? Latitude;(0016,0084);X
GPS Dest ?Longitude Ref;(0016,0085);X
GPS Dest ?Longitude;(0016,0086);X
GPS Dest? Bearing Ref;(0016,0087);X
GPS Dest ?Bearing;(0016,0088);X
GPS Dest ?Distance Ref;(0016,0089);X
GPS Dest ?Distance;(0016,008A);X
GPS Processing? Method;(0016,008B);X
GPS Area ?Information;(0016,008C);X
GPS Date? Stamp;(0016,008D);X
GPS Differential;(0016,008E);X
Contrast/Bolus Agent;(0018,0010);U
Intervention Drug Stop Time;(0018,0027);X
Intervention Drug Start Time;(0018,0035);X
Device Serial Number;(0018,1000);D
Device UID;(0018,1002);U
Plate ID;(0018,1004);X
Generator ID;(0018,1005);X
Cassette ID;(0018,1007);X
Gantry ID;(0018,1008);X
Unique Device Identifier;(0018,1009);X
UDI Sequence;(0018,100A);X
